sample_id,genotype,tissue,treatment,replicate,raw_file_path,notes
A1_FL_Root,COL00,Root,Space Flight (FL),A1,APEX5_HiSeq_HiSat_counts_out,Condition code: FL
A1_FL_Shoot,COL00,Shoot,Space Flight (FL),A1,APEX5_HiSeq_HiSat_counts_out,Condition code: FL
A1_GC_Root,COL00,Root,Ground Control (GC),A1,APEX5_HiSeq_HiSat_counts_out,Condition code: GC
A1_GC_Shoot,COL00,Shoot,Ground Control (GC),A1,APEX5_HiSeq_HiSat_counts_out,Condition code: GC
A3_FL_Root,CAX22,Root,Space Flight (FL),A3,APEX5_HiSeq_HiSat_counts_out,Condition code: FL
A3_FL_Shoot,CAX22,Shoot,Space Flight (FL),A3,APEX5_HiSeq_HiSat_counts_out,Condition code: FL
A3_GC_Root,CAX22,Root,Ground Control (GC),A3,APEX5_HiSeq_HiSat_counts_out,Condition code: GC
A3_GC_Shoot,CAX22,Shoot,Ground Control (GC),A3,APEX5_HiSeq_HiSat_counts_out,Condition code: GC
A4_FL_Root,CAX23,Root,Space Flight (FL),A4,APEX5_HiSeq_HiSat_counts_out,Condition code: FL
A4_FL_Shoot,CAX23,Shoot,Space Flight (FL),A4,APEX5_HiSeq_HiSat_counts_out,Condition code: FL
A4_GC_Root,CAX23,Root,Ground Control (GC),A4,APEX5_HiSeq_HiSat_counts_out,Condition code: GC
A4_GC_Shoot,CAX23,Shoot,Ground Control (GC),A4,APEX5_HiSeq_HiSat_counts_out,Condition code: GC
A8_FL_Root,CAX23,Root,Space Flight (FL),A8,APEX5_HiSeq_HiSat_counts_out,Condition code: FL
A8_FL_Shoot,CAX23,Shoot,Space Flight (FL),A8,APEX5_HiSeq_HiSat_counts_out,Condition code: FL
A8_GC_Root,CAX23,Root,Ground Control (GC),A8,APEX5_HiSeq_HiSat_counts_out,Condition code: GC
A8_GC_Shoot,CAX23,Shoot,Ground Control (GC),A8,APEX5_HiSeq_HiSat_counts_out,Condition code: GC
B2_FL_Root,RBOHD,Root,Space Flight (FL),B2,APEX5_HiSeq_HiSat_counts_out,Condition code: FL
B2_FL_Shoot,RBOHD,Shoot,Space Flight (FL),B2,APEX5_HiSeq_HiSat_counts_out,Condition code: FL
B2_GC_Root,RBOHD,Root,Ground Control (GC),B2,APEX5_HiSeq_HiSat_counts_out,Condition code: GC
B2_GC_Shoot,RBOHD,Shoot,Ground Control (GC),B2,APEX5_HiSeq_HiSat_counts_out,Condition code: GC
B3_FL_Root,CAX23,Root,Space Flight (FL),B3,APEX5_HiSeq_HiSat_counts_out,Condition code: FL
B3_FL_Shoot,CAX23,Shoot,Space Flight (FL),B3,APEX5_HiSeq_HiSat_counts_out,Condition code: FL
B3_GC_Root,CAX23,Root,Ground Control (GC),B3,APEX5_HiSeq_HiSat_counts_out,Condition code: GC
B3_GC_Shoot,CAX23,Shoot,Ground Control (GC),B3,APEX5_HiSeq_HiSat_counts_out,Condition code: GC
B4_FL_Root,CAX22,Root,Space Flight (FL),B4,APEX5_HiSeq_HiSat_counts_out,Condition code: FL
B4_FL_Shoot,CAX22,Shoot,Space Flight (FL),B4,APEX5_HiSeq_HiSat_counts_out,Condition code: FL
B4_GC_Root,CAX22,Root,Ground Control (GC),B4,APEX5_HiSeq_HiSat_counts_out,Condition code: GC
B4_GC_Shoot,CAX22,Shoot,Ground Control (GC),B4,APEX5_HiSeq_HiSat_counts_out,Condition code: GC
B5_FL_Root,RBOHD,Root,Space Flight (FL),B5,APEX5_HiSeq_HiSat_counts_out,Condition code: FL
B5_FL_Shoot,RBOHD,Shoot,Space Flight (FL),B5,APEX5_HiSeq_HiSat_counts_out,Condition code: FL
B5_GC_Root,RBOHD,Root,Ground Control (GC),B5,APEX5_HiSeq_HiSat_counts_out,Condition code: GC
B5_GC_Shoot,RBOHD,Shoot,Ground Control (GC),B5,APEX5_HiSeq_HiSat_counts_out,Condition code: GC
B6_FL_Root,COL00,Root,Space Flight (FL),B6,APEX5_HiSeq_HiSat_counts_out,Condition code: FL
B6_FL_Shoot,COL00,Shoot,Space Flight (FL),B6,APEX5_HiSeq_HiSat_counts_out,Condition code: FL
B6_GC_Root,COL00,Root,Ground Control (GC),B6,APEX5_HiSeq_HiSat_counts_out,Condition code: GC
B6_GC_Shoot,COL00,Shoot,Ground Control (GC),B6,APEX5_HiSeq_HiSat_counts_out,Condition code: GC
B7_FL_Root,CAX23,Root,Space Flight (FL),B7,APEX5_HiSeq_HiSat_counts_out,Condition code: FL
B7_FL_Shoot,CAX23,Shoot,Space Flight (FL),B7,APEX5_HiSeq_HiSat_counts_out,Condition code: FL
B7_GC_Root,CAX23,Root,Ground Control (GC),B7,APEX5_HiSeq_HiSat_counts_out,Condition code: GC
B7_GC_Shoot,CAX23,Shoot,Ground Control (GC),B7,APEX5_HiSeq_HiSat_counts_out,Condition code: GC
B8_FL_Root,CAX22,Root,Space Flight (FL),B8,APEX5_HiSeq_HiSat_counts_out,Condition code: FL
B8_FL_Shoot,CAX22,Shoot,Space Flight (FL),B8,APEX5_HiSeq_HiSat_counts_out,Condition code: FL
B8_GC_Root,CAX22,Root,Ground Control (GC),B8,APEX5_HiSeq_HiSat_counts_out,Condition code: GC
B8_GC_Shoot,CAX22,Shoot,Ground Control (GC),B8,APEX5_HiSeq_HiSat_counts_out,Condition code: GC
B9_FL_Root,COL00,Root,Space Flight (FL),B9,APEX5_HiSeq_HiSat_counts_out,Condition code: FL
B9_FL_Shoot,COL00,Shoot,Space Flight (FL),B9,APEX5_HiSeq_HiSat_counts_out,Condition code: FL
B9_GC_Root,COL00,Root,Ground Control (GC),B9,APEX5_HiSeq_HiSat_counts_out,Condition code: GC
B9_GC_Shoot,COL00,Shoot,Ground Control (GC),B9,APEX5_HiSeq_HiSat_counts_out,Condition code: GC
C3_FL_Root,COL00,Root,Space Flight (FL),C3,APEX5_HiSeq_HiSat_counts_out,Condition code: FL
C3_FL_Shoot,COL00,Shoot,Space Flight (FL),C3,APEX5_HiSeq_HiSat_counts_out,Condition code: FL
C3_GC_Root,COL00,Root,Ground Control (GC),C3,APEX5_HiSeq_HiSat_counts_out,Condition code: GC
C3_GC_Shoot,COL00,Shoot,Ground Control (GC),C3,APEX5_HiSeq_HiSat_counts_out,Condition code: GC
C4_FL_Root,RBOHD,Root,Space Flight (FL),C4,APEX5_HiSeq_HiSat_counts_out,Condition code: FL
C4_FL_Shoot,RBOHD,Shoot,Space Flight (FL),C4,APEX5_HiSeq_HiSat_counts_out,Condition code: FL
C4_GC_Root,RBOHD,Root,Ground Control (GC),C4,APEX5_HiSeq_HiSat_counts_out,Condition code: GC
C4_GC_Shoot,RBOHD,Shoot,Ground Control (GC),C4,APEX5_HiSeq_HiSat_counts_out,Condition code: GC
C8_FL_Root,RBOHD,Root,Space Flight (FL),C8,APEX5_HiSeq_HiSat_counts_out,Condition code: FL
C8_FL_Shoot,RBOHD,Shoot,Space Flight (FL),C8,APEX5_HiSeq_HiSat_counts_out,Condition code: FL
C8_GC_Root,RBOHD,Root,Ground Control (GC),C8,APEX5_HiSeq_HiSat_counts_out,Condition code: GC
C8_GC_Shoot,RBOHD,Shoot,Ground Control (GC),C8,APEX5_HiSeq_HiSat_counts_out,Condition code: GC
