Symbol	rbohD_Root_baseMeanB_GC	rbohD_Root_baseMeanA_FL
-	56.78129247	91.48541254
kinase	12.50758163	78.11767618
-	30.05126895	61.18457722
ALMT1	451.3010465	2582.125115
-	46.45633321	83.18195256
CXXS1	31.61984147	57.67001701
NRT1	1684.432186	4422.061203
CYP71B2	174.9602697	331.6992479
CYP71B2	176.914147	334.8820238
MIOX1	22.04464656	43.48557355
MIOX1	21.83885523	42.00393163
-	198.7397723	286.7469474
F-box	156.7218234	240.9830422
kinase	0.359876786	2.69511417
CORI1	2.467593862	10.12635454
TMT1	3219.758169	5013.577273
zinc finger	271.0232284	559.8199289
AGL87	3.287311369	6.855342408
CLE43	5.854240423	13.08380244
-	256.3945803	535.822951
-	8.372145274	20.80450318
SnRK3.23	1378.495099	2275.871081
thioesterase	2.368137159	6.625578682
transposable element gene	1.186156524	3.330578278
DC1	8.180519521	33.18721909
ML	34.15736232	133.4640855
ML	34.00267296	132.6395477
transposable element gene	2.110685144	14.56835465
RLP6	7.809954277	24.31380047
-	0.873859389	4.139750226
-	308.9424781	483.2002787
-	6.477239329	12.59158966
MATE efflux	64.65793749	115.9710361
MATE efflux	64.65793749	115.9710361
transposable element gene	0.822757423	3.49576621
kinase	15.30057308	38.26622662
kinase	88.18321706	623.7689479
kinase	39.37279622	276.9607473
jacalin lectin	54.87519813	241.0857
protein binding	160.5666767	250.7782858
protein binding	155.7862457	244.7217538
protein binding	155.4760015	243.8407397
MLO6	117.8459433	297.1774437
MLO6	114.5098445	287.6745944
MLO6	114.5098445	287.6745944
MLO6	117.9985798	295.5637891
SLAH1	100.9936504	203.0708883
PP2-A5	2.060378625	6.508846341
PP2-A5	2.060378625	6.508846341
nuclease	0.308578814	1.675046363
nuclease	0.308578814	1.675046363
FMO GS-OX1	54.5100199	119.6611298
kinase	9.625803052	18.21011214
kinase	9.728806902	18.74260808
-	2.061248567	4.786463105
terpene synthase/cyclase	3.701742412	24.50987373
MLP43	145.4975342	221.1951981
CCH	7.558460583	18.01713146
scpl4	180.8861515	256.8065369
methyltransferase	1691.432011	2752.980358
methyltransferase	1685.716737	2756.784881
CPuORF32	1691.226004	2752.525691
UBC16	313.6854351	452.302431
kinase	0.102787482	3.465287713
NAC368	3.244482217	12.15563536
-	32.41558481	102.2674735
NR1	5468.470397	12673.32818
SULTR2;2	88.34998794	222.7097965
other RNA	20.92213739	52.00304311
SOUL heme-binding	24.11593067	41.39112538
-	77.93311655	153.1826025
LUP1	98.23122202	175.0354711
LUP1	95.9209699	170.9271342
-	102.183662	500.7618128
kinase	430.6497129	734.9279104
kinase	660.1436967	1122.933053
kinase	662.4004064	1127.621223
kinase	653.5530267	1106.688138
PMIT1	966.5238804	1464.62428
calcium ion binding	0.101967203	0.939993037
SGR5	72.36632717	111.9503157
SGR5	57.26439186	89.72599623
SGR5	72.05608297	111.003402
ANAC035	7.905555255	19.4281253
ANAC035	7.70080057	19.40933548
-	0.56402756	2.012012338
AGT1	62.44124699	135.6365727
AGT1	62.44124699	135.6365727
ANR1	5.03590009	18.48323373
NIR1	4141.965936	5694.357166
SEC14 cytosolic factor	16.56661665	27.91389005
auxin-responsive	7.707146433	14.98936509
auxin-responsive	48.25280668	91.45991229
SFH3	174.6582339	268.2424281
SFH3	177.4342647	272.8527689
SFH3	170.2336031	262.2120744
catalytic/ trehalose-phosphatase	279.0907688	396.7779885
AP2	11.6728675	24.38813526
AGL17	46.09014979	165.8154966
SCPL13	52.39596259	93.95678121
SCPL13	50.48858311	89.41001782
SCPL13	52.39596259	93.95678121
SCPL13	52.29399538	93.95678121
SCPL9	11.07420745	41.87950169
SCPL9	11.07420745	41.87950169
MOT1	17.6166246	31.78625109
FUC1	139.602622	216.9064786
-	47.76456494	70.44195286
DC1	0.205574964	20.54454149
CYP710A3	0.721826867	7.039323558
CYP710A4	2.678818568	58.04073315
CLE5	10.27103557	72.5328017
CLE6	20.64900968	54.19242276
other RNA	98.79650425	169.5802647
other RNA	98.79650425	169.5802647
UBC24	4105.555144	6824.319453
SPL3	31.82640788	53.85772813
other RNA	31.10788697	52.62308373
WOX9	2.268076546	12.03287559
nodulin	15.73331265	69.0363755
zinc finger	29.25567012	59.60054339
nuclease	5.201665455	16.52407382
oxidoreductase	28.7191801	66.6786068
RD28	886.2010964	1507.212054
nodulin MtN21	106.8623339	158.7351298
nodulin MtN21	114.8245212	173.4355573
PIP2E	70.90389145	145.1145862
MTP11	572.6027694	890.8771682
