Gene ID	GCRoot_COL00-GCRoot_RBOHD___log2FoldChange	GCRoot_COL00-GCRoot_RBOHD___padj	COL00-RBOHD_Root_APEX5_Sig
AT1G05135	-2.11160823	0.029851214	Yes
AT1G20220	-0.555512926	0.008646127	Yes
AT1G27565	7.844064762	8.59E-10	Yes
AT1G29810	-4.33637648	2.69E-73	Yes
AT1G29820	-0.446201577	1.65E-05	Yes
AT1G43590	3.982158876	5.11E-06	Yes
AT1G53480	-4.003385723	0.001578005	Yes
AT1G53490	-2.431249834	3.45E-13	Yes
AT1G55040	-0.364034443	0.032762477	Yes
AT1G60095	1.072493507	0.001632889	Yes
AT1G65440	-0.198986893	0.015869889	Yes
AT1G67105	1.406149813	0.004391473	Yes
AT1G73600	-0.562937684	0.048891044	Yes
AT1G73602	-0.560530778	0.048891044	Yes
AT1G74230	-0.581428547	0.000674767	Yes
AT1G79340	0.290107523	0.04801169	Yes
AT1G80440	0.904775193	0.022124012	Yes
AT2G01029	4.968819938	1.01E-08	Yes
AT2G05995	3.890113199	4.54E-14	Yes
AT2G06002	6.846027941	1.49E-07	Yes
AT2G07712	0.857076286	8.59E-10	Yes
AT2G07732	-2.90655267	1.87E-129	Yes
AT2G07747	0.693177968	9.61E-06	Yes
AT2G07787	-0.369010046	0.018678139	Yes
AT2G12390	2.128472915	1.70E-09	Yes
AT2G13550	-0.66335275	0.014681003	Yes
AT2G17870	-0.824388693	0.013765665	Yes
AT2G21060	-1.321173968	5.21E-07	Yes
AT2G32860	-1.271368027	0.018678139	Yes
AT2G34730	-0.398825775	2.34E-05	Yes
AT2G36120	-1.231113719	0.022594884	Yes
AT2G41640	1.664887508	4.44E-08	Yes
AT2G41650	-0.84602276	8.63E-10	Yes
AT2G46630	-0.897312761	0.048891044	Yes
AT3G03870	0.458168961	0.014961619	Yes
AT3G05220	-0.518074663	3.42E-05	Yes
AT3G07030	-0.436682258	0.048891044	Yes
AT3G07050	-0.401721369	0.003061285	Yes
AT3G07610	-0.831080482	5.92E-20	Yes
AT3G20470	-1.7761428	5.86E-08	Yes
AT3G23450	-1.759055258	0.031140644	Yes
AT3G45780	0.317413072	0.025025389	Yes
AT3G53235	-1.024388556	4.07E-07	Yes
AT3G56990	-0.3747198	0.03179223	Yes
AT4G05320	-0.402296006	0.048467655	Yes
AT4G13850	-0.667224875	5.96E-05	Yes
AT4G17940	-0.600407216	0.002313853	Yes
AT4G19650	0.517693926	0.044234153	Yes
AT4G30110	-0.79221868	0.048891044	Yes
AT4G33490	-0.540671712	0.04801169	Yes
AT4G34250	-0.824643813	0.045815644	Yes
AT4G37870	-0.307918315	0.03179223	Yes
AT5G04280	-0.509916601	0.048891044	Yes
AT5G08250	2.554264994	1.65E-05	Yes
AT5G11330	-1.041100153	1.21E-14	Yes
AT5G13210	0.930403767	0.005866797	Yes
AT5G18910	-7.469303656	8.49E-08	Yes
AT5G22860	0.648623406	0.00105133	Yes
AT5G26270	0.957950108	0.000127065	Yes
AT5G28290	-0.371648254	0.000354496	Yes
AT5G33395	2.668585094	0.007451112	Yes
AT5G34790	1.520891397	0.008646127	Yes
AT5G35932	2.294108516	0.021240409	Yes
AT5G35935	2.268045556	3.97E-111	Yes
AT5G35940	-1.208750091	0.045815644	Yes
AT5G40490	-0.469627189	0.012291536	Yes
AT5G41070	-0.646324461	0.048891044	Yes
AT5G45095	2.084976873	9.61E-06	Yes
AT5G47910	1.179750374	0.000356373	Yes
AT5G50260	1.406950117	0.033789621	Yes
AT5G55055	6.623881321	2.09E-05	Yes
AT5G55056	7.56504108	2.49E-08	Yes
AT5G55060	0.948887094	1.33E-37	Yes
AT5G58470	-0.499597296	2.70E-05	Yes
AT5G61030	-0.853798915	1.28E-05	Yes
ATCG00500	0.284613947	0.015869889	Yes
ATCG00880	22.91920204	3.90E-09	Yes
ATCG00910	17.16304617	2.74E-07	Yes
ATMG01130	0.688230947	0.039153586	Yes
ATMG01360	0.779327896	2.21E-23	Yes
