image, root_name, root, length, vector_length, surface, volume, direction, diameter, root_order, root_ontology, parent_name, parent, insertion_position, insertion_angle, n_child, child_density, first_child, insertion_first_child, last_child, insertion_last_child
rbohD_GC_C10_3.rsml, rbohD_3_c10_day2, 628c5811-520f-4150-88cf-f6046dba9266, 0.8453221, 0.83416414, 0.13648044, 0.0017770707, 271.06586536360413, 0.052601468, 0, Root, -1, -1, -0.008063492, -57.29577951308232, 0, 0.0, null, null, null, null
rbohD_GC_C10_3.rsml, rbohD_10_c10_day2, b716cc90-dfc3-49ee-a450-ecdc21d97c40, 0.95337355, 0.9045943, 0.1862578, 0.0030454928, 283.0509622247656, 0.05913072, 0, Root, -1, -1, -0.008063492, -57.29577951308232, 0, 0.0, null, null, null, null
rbohD_GC_C10_3.rsml, rbohD_9_c10_day2, 5ef20a2c-5650-49c2-be00-9b2dc5a259d8, 0.58791554, 0.57995135, 0.07854141, 8.427298E-4, 255.73837445096194, 0.042017255, 0, Root, -1, -1, -0.008063492, -57.29577951308232, 0, 0.0, null, null, null, null
rbohD_GC_C10_3.rsml, rbohD_8_c10_day2, 697dec5a-61e2-4ac8-82e7-66dceb1b0ad4, 0.71081674, 0.70783806, 0.0997577, 0.0011831438, 239.97131988409438, 0.043334976, 0, Root, -1, -1, -0.008063492, -57.29577951308232, 0, 0.0, null, null, null, null
rbohD_GC_C10_3.rsml, rbohD_7_c10_day2, 1a2a2db4-ab1d-4f84-bf01-9197140307a9, 0.7208888, 0.708608, 0.102348566, 0.0012299111, 254.88047537045168, 0.04378418, 0, Root, -1, -1, -0.008063492, -57.29577951308232, 0, 0.0, null, null, null, null
rbohD_GC_C10_3.rsml, rbohD_6_c10_day2, cf694fa3-4b50-4211-9675-b74b4b2770d9, 0.68112737, 0.6708636, 0.114749566, 0.0015689089, 247.88010520707888, 0.05278347, 0, Root, -1, -1, -0.008063492, -57.29577951308232, 0, 0.0, null, null, null, null
rbohD_GC_C10_3.rsml, rbohD_5_c10_day2, 17e91222-7f27-4539-a985-80719620d468, 0.76486063, 0.76142555, 0.10807336, 0.0012171122, 275.52944862772085, 0.0443501, 0, Root, -1, -1, -0.008063492, -57.29577951308232, 0, 0.0, null, null, null, null
rbohD_GC_C10_3.rsml, rbohD_4_c10_day3, 22a8202c-cd4d-4d63-bb17-cc0581c1483f, 0.93068445, 0.9155732, 0.16496663, 0.0024662353, 264.86793314468116, 0.057806596, 0, Root, -1, -1, -0.008063492, -57.29577951308232, 0, 0.0, null, null, null, null
rbohD_GC_C10_3.rsml, rbohD_2_c10_day2, 23037c7c-d1c4-4af3-9a94-2eaa65c5159d, 0.7238478, 0.7108518, 0.11955167, 0.001580268, 263.0085917280636, 0.052926388, 0, Root, -1, -1, -0.008063492, -57.29577951308232, 0, 0.0, null, null, null, null
rbohD_GC_C10_3.rsml, rbohD_1_c10_day2, d851100f-7c86-474f-87ba-89e52dceaa66, 0.77425265, 0.76397514, 0.11599583, 0.0014979078, 262.6872449879928, 0.050991476, 0, Root, -1, -1, -0.008063492, -57.29577951308232, 0, 0.0, null, null, null, null
